Pos	Mean Qual Score
0	30.5414709229114
1	31.12682531190465
2	34.43768278319044
3	35.382138755180975
4	35.62860623853044
5	38.87499041924618
6	39.06146945085116
7	39.06554024896076
8	39.19513756060599
9	39.17697815702242
10	39.19023002748036
11	39.15253263780072
12	39.10110353167031
13	39.177306327557744
14	39.05680688072147
15	38.945247727388136
16	38.9837084392605
17	39.052221336999665
18	38.93462416913706
19	38.986189069971736
20	38.94813840485346
21	38.86465680360948
22	38.88704457660866
23	38.977190578738394
24	38.953012845152
25	38.928280616523175
26	39.01910616274025
27	38.99620469016651
28	38.93603527391066
29	39.01150707967783
30	38.97137565550899
31	38.77972282665235
32	38.88584087257036
33	38.815597828578014
34	38.84606139251954
35	38.7858953996596
36	38.77238287564115
37	38.782994356912226
38	38.69971872998859
39	38.79948694706688
40	38.85967585766053
41	38.90187558352259
42	38.810282816245234
43	38.90161150656617
44	38.8710438143325
45	38.82528423219981
46	38.84086610394913
47	38.78296459238671
48	38.76230506375409
49	38.72170729698739
50	38.79501970069249
51	38.81212650512929
52	38.80408171493877
53	38.59680697961957
54	38.626318744404884
55	38.708546717086946
56	38.72314597911691
57	38.64945196186261
58	38.620400453638
59	38.556808877702416
60	38.53388363154598
61	38.58495622903051
62	38.598728170383175
63	38.51770998777658
64	38.553665059128704
65	38.47757789794743
66	38.541911494945644
67	38.44688934081941
68	38.402774985702564
69	38.45033166049726
70	38.44809437617834
71	38.38064843682988
72	38.33267876735685
73	38.336694696037625
74	38.335997274216105
75	38.22351123644121
76	37.297040265031704
77	37.69017658446649
78	38.11310557733955
79	38.222715772364715
80	38.34911610770536
81	38.35747566013058
82	38.38879374172798
83	38.30560446045664
84	38.219917906966174
85	38.229668118883886
86	38.16719570812659
87	38.183092817582256
88	38.159914810694765
89	38.09317342524264
90	38.063068747305266
91	37.97718896213477
92	37.95053801519493
93	37.91231275688545
94	37.73036535051675
95	37.75620951715473
96	37.76475298201557
97	37.70394491223459
98	37.451885977332935
99	37.54453419658699
100	35.636440775155734
