Pos	Mean Qual Score
0	30.136787583218545
1	30.62938154742972
2	33.64851596823787
3	34.575820131243546
4	35.125423194267576
5	37.855621852984015
6	37.84867486344223
7	38.21816603626536
8	38.40094112486891
9	38.329600969870505
10	38.42564610102758
11	38.40278960745429
12	38.2205581751288
13	38.32999756738155
14	38.174014075368646
15	37.881807792910514
16	38.00855733428059
17	38.19654506691494
18	37.946970454894526
19	38.09991310978949
20	37.961266411687944
21	37.941717331272805
22	38.12015213664988
23	38.13552836050099
24	38.16494895280195
25	38.16205017855214
26	38.113403317763634
27	38.179592829117325
28	38.15730189691718
29	38.10011025564527
30	37.96202143291859
31	37.56978008949832
32	37.451885971041975
33	37.205879455621236
34	37.0436299535138
35	36.9365528528312
36	36.85136854963803
37	36.83121880845762
38	36.785715392864034
39	37.157570010157045
40	37.403821068422936
41	37.59447763585867
42	37.60700376344906
43	37.80306781497189
44	37.844994935567634
45	37.835323131537024
46	37.891977009129555
47	37.85400036354772
48	37.843720981353385
49	37.8110891789727
50	37.888702645764
51	37.919016607264574
52	37.91604289453158
53	37.710778703072336
54	37.73849185085628
55	37.8227534499564
56	37.83628426562144
57	37.75783174401834
58	37.7267967077795
59	37.65722663818406
60	37.636564881418494
61	37.67620721092672
62	37.694508981921636
63	37.6100994273547
64	37.649070256813545
65	37.57739793858964
66	37.6430240662697
67	37.539598199068124
68	37.48574445874752
69	37.534859909230924
70	37.52695434760414
71	37.45862287663089
72	37.39659981684266
73	37.40146018595248
74	37.39736713567055
75	37.276782277317736
76	36.374711759052154
77	36.77560984233071
78	37.20541381222568
79	37.318501363560145
80	37.44794638452563
81	37.450094749143744
82	37.47887945318734
83	37.38286455362348
84	37.29359527044658
85	37.29981657365114
86	37.23209434614124
87	37.235355002809875
88	37.202322888018976
89	37.12019133524108
90	37.083262291224266
91	36.9934489674694
92	36.96236525324147
93	36.917216034068446
94	36.733373232204386
95	36.743704366787114
96	36.74347404303877
97	36.662152722579144
98	36.411164655475766
99	36.48700880546392
100	34.50228229313808
